                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5892,                 1.0938,                 1.0169,                0.64498,                0.74802,                 0.7289,                0.39198,                 1.5489,                 1.0355,                0.96297,             0.00067003,             0.00067003,             0.00067003
                     36,                 1.5456,                 1.0635,                 1.0019,                0.68347,                0.64807,                0.69748,                0.38666,                 1.5351,                 1.0374,                0.96067,             0.00066003,             0.00066003,             0.00066003
                     37,                 1.5735,                 1.0748,                 1.0003,                0.64523,                0.64104,                0.67199,                0.37161,                 1.5411,                 1.0895,                0.96613,             0.00065004,             0.00065004,             0.00065004
                     38,                 1.5821,                 1.0706,                 1.0072,                0.67676,                0.66827,                0.70237,                 0.3575,                 1.7073,                 1.0578,                0.99714,             0.00064004,             0.00064004,             0.00064004
                     39,                 1.5545,                 1.0476,                 1.0027,                0.76989,                0.64993,                0.72896,                 0.3927,                  1.616,                 1.0372,                 0.9745,             0.00063004,             0.00063004,             0.00063004
                     40,                 1.5452,                 1.0446,                 1.0003,                0.62622,                0.68863,                0.71882,                0.38319,                 1.6321,                 1.0279,                 0.9783,             0.00062004,             0.00062004,             0.00062004
                     41,                 1.5598,                 1.0447,                0.99748,                0.67579,                0.67559,                0.69237,                0.34136,                 1.7287,                 1.1332,                0.99325,             0.00061004,             0.00061004,             0.00061004
                     42,                 1.5416,                 1.0618,                 1.0004,                0.63173,                0.65451,                0.68608,                0.35279,                 1.6527,                 1.0836,                0.98429,             0.00060004,             0.00060004,             0.00060004
                     43,                 1.5474,                 1.0391,                 1.0009,                0.73466,                0.66261,                 0.6941,                0.35101,                   1.62,                 1.0584,                0.97062,             0.00059004,             0.00059004,             0.00059004
                     44,                  1.548,                 1.0544,                0.98971,                0.71198,                0.65652,                 0.7154,                0.37081,                 1.6569,                 1.0469,                0.98769,             0.00058004,             0.00058004,             0.00058004
                     45,                  1.561,                 1.0473,                0.99247,                0.62146,                0.70593,                0.72488,                0.38099,                 1.6446,                  1.055,                0.97769,             0.00057004,             0.00057004,             0.00057004
                     46,                 1.5576,                 1.0353,                0.99545,                0.76509,                0.61288,                0.69617,                0.38764,                 1.5277,                 1.0514,                0.95914,             0.00056004,             0.00056004,             0.00056004
                     47,                 1.5531,                 1.0474,                 1.0003,                  0.724,                0.67269,                0.70289,                0.38125,                 1.5764,                 1.0365,                 0.9652,             0.00055004,             0.00055004,             0.00055004
                     48,                 1.5443,                 1.0273,                 0.9997,                 0.6623,                0.68691,                0.71526,                0.38787,                 1.5793,                 1.0205,                0.97238,             0.00054005,             0.00054005,             0.00054005
                     49,                  1.551,                 1.0439,                0.99737,                0.70286,                0.70228,                0.70541,                0.34071,                 1.8115,                  1.072,                 1.0178,             0.00053005,             0.00053005,             0.00053005
                     50,                 1.5429,                 1.0328,                 1.0036,                0.63671,                 0.7259,                0.72275,                0.36772,                 1.6507,                 1.0393,                0.98788,             0.00052005,             0.00052005,             0.00052005
                     51,                  1.545,                 1.0294,                 1.0017,                0.65606,                0.68733,                0.70574,                0.37085,                 1.6515,                 1.0837,                 0.9788,             0.00051005,             0.00051005,             0.00051005
                     52,                 1.5237,                 1.0195,                0.98675,                0.72259,                0.67765,                0.73268,                0.37622,                 1.6593,                 1.0675,                0.98801,             0.00050005,             0.00050005,             0.00050005
                     53,                 1.5579,                  1.032,                 1.0012,                0.70921,                0.67161,                0.71904,                0.38457,                 1.5687,                 1.0138,                0.96478,             0.00049005,             0.00049005,             0.00049005
                     54,                 1.5381,                 1.0199,                0.99422,                0.66554,                0.68651,                 0.6967,                0.38148,                   1.53,                0.98978,                 0.9557,             0.00048005,             0.00048005,             0.00048005
                     55,                 1.5203,                 1.0162,                0.98285,                0.70054,                0.71825,                0.74542,                0.39384,                 1.4762,                 1.0209,                0.95016,             0.00047005,             0.00047005,             0.00047005
                     56,                  1.555,                 1.0301,                0.99486,                0.64821,                0.75461,                0.72985,                0.37662,                 1.6987,                  1.076,                0.98847,             0.00046005,             0.00046005,             0.00046005
                     57,                 1.5221,                 1.0268,                0.99641,                0.71565,                 0.6891,                 0.7523,                0.38834,                 1.6349,                 1.0381,                0.97967,             0.00045005,             0.00045005,             0.00045005
                     58,                 1.5297,                 1.0057,                 0.9858,                 0.7512,                0.70752,                0.73842,                 0.3744,                  1.682,                 1.0191,                0.99776,             0.00044006,             0.00044006,             0.00044006
                     59,                 1.5154,                 1.0024,                0.98546,                0.78788,                0.67504,                0.74902,                0.38409,                 1.6869,                 1.0475,                0.99007,             0.00043006,             0.00043006,             0.00043006
                     60,                 1.5242,                 1.0087,                0.99016,                0.75579,                0.69748,                0.75028,                0.41538,                 1.5398,                  1.018,                0.95851,             0.00042006,             0.00042006,             0.00042006
                     61,                 1.5402,                 1.0242,                0.99186,                0.69079,                0.70256,                 0.7121,                0.40505,                 1.4428,                0.95319,                0.94175,             0.00041006,             0.00041006,             0.00041006
                     62,                 1.5175,                 1.0049,                0.99582,                0.72303,                0.65736,                0.73883,                0.38043,                 1.5922,                 0.9989,                0.97124,             0.00040006,             0.00040006,             0.00040006
                     63,                 1.5278,                 1.0051,                0.98942,                0.70068,                0.65336,                0.68839,                0.38044,                  1.597,                 1.0094,                0.96514,             0.00039006,             0.00039006,             0.00039006
                     64,                 1.4995,                 1.0138,                0.98413,                0.68071,                0.68624,                0.71609,                0.37879,                 1.7128,                 1.1062,                0.98867,             0.00038006,             0.00038006,             0.00038006
                     65,                 1.5179,                 1.0012,                0.98855,                 0.7159,                0.67054,                0.73181,                0.34818,                 1.7296,                 1.0796,                 1.0017,             0.00037006,             0.00037006,             0.00037006
                     66,                 1.5175,                 1.0278,                0.98684,                0.73372,                0.69097,                0.71979,                0.37917,                 1.6417,                 1.0167,                 0.9783,             0.00036006,             0.00036006,             0.00036006
                     67,                 1.5295,                0.99782,                 1.0062,                0.71816,                0.71334,                0.73847,                0.38678,                 1.5843,                 1.0026,                0.96948,             0.00035006,             0.00035006,             0.00035006
                     68,                 1.5146,                 1.0014,                 0.9899,                0.72095,                0.72614,                0.73716,                0.42915,                 1.4033,                0.98849,                 0.9286,             0.00034007,             0.00034007,             0.00034007
                     69,                 1.4942,                0.98745,                0.97629,                0.73842,                0.66868,                0.73887,                0.39749,                 1.5866,                0.98804,                0.96883,             0.00033007,             0.00033007,             0.00033007
                     70,                 1.5043,                0.99298,                 0.9943,                0.76709,                 0.6966,                0.75341,                0.40446,                 1.6573,                 1.0137,                 0.9825,             0.00032007,             0.00032007,             0.00032007
                     71,                 1.4976,                0.98734,                0.99175,                0.63191,                0.70174,                0.70447,                0.37826,                 1.5986,                 1.0822,                0.97734,             0.00031007,             0.00031007,             0.00031007
                     72,                 1.5135,                 1.0134,                 1.0006,                0.72734,                0.64635,                0.70652,                0.37638,                 1.6258,                 1.0051,                0.98062,             0.00030007,             0.00030007,             0.00030007
                     73,                 1.4903,                0.96954,                0.98865,                 0.6811,                0.69343,                0.73063,                0.43198,                 1.4456,                0.99035,                0.94228,             0.00029007,             0.00029007,             0.00029007
                     74,                 1.4902,                0.97726,                0.97677,                0.75232,                 0.6873,                0.73896,                0.41632,                 1.5215,                 1.0098,                  0.956,             0.00028007,             0.00028007,             0.00028007
                     75,                  1.514,                 1.0016,                0.99121,                0.81466,                0.64702,                0.74203,                0.40338,                 1.6319,                0.98973,                0.97241,             0.00027007,             0.00027007,             0.00027007
                     76,                 1.5286,                0.99476,                0.98881,                0.71749,                 0.6963,                0.72826,                 0.3901,                 1.5677,                 1.0205,                 0.9647,             0.00026007,             0.00026007,             0.00026007
                     77,                 1.5146,                0.98325,                0.99374,                0.71219,                0.67105,                0.73381,                  0.396,                 1.5629,                0.98817,                0.96268,             0.00025007,             0.00025007,             0.00025007
                     78,                  1.517,                 0.9778,                0.97858,                0.78517,                 0.6726,                0.74667,                0.41239,                  1.525,                 0.9917,                0.96075,             0.00024008,             0.00024008,             0.00024008
                     79,                 1.4921,                0.97891,                0.98097,                0.77179,                0.66281,                0.74263,                0.38346,                 1.6061,                  1.012,                0.97102,             0.00023008,             0.00023008,             0.00023008
                     80,                 1.4741,                0.97417,                0.97325,                0.75254,                  0.679,                0.74786,                0.42224,                 1.5171,                0.97088,                0.95912,             0.00022008,             0.00022008,             0.00022008
                     81,                 1.4831,                0.96223,                0.98008,                0.74048,                0.67906,                0.71332,                0.39095,                 1.5948,                 1.0084,                0.96927,             0.00021008,             0.00021008,             0.00021008
                     82,                 1.5029,                0.99248,                0.98352,                0.65962,                0.68933,                0.72199,                0.39951,                 1.4788,                0.98211,                0.95051,             0.00020008,             0.00020008,             0.00020008
                     83,                 1.4779,                0.97127,                0.98318,                0.71738,                0.70719,                0.71781,                0.40236,                 1.5278,                0.98229,                0.96329,             0.00019008,             0.00019008,             0.00019008
                     84,                 1.4963,                0.97019,                0.98532,                0.73597,                0.69029,                0.72648,                0.40365,                 1.5474,                0.99165,                0.96181,             0.00018008,             0.00018008,             0.00018008
                     85,                 1.4813,                0.97551,                0.97647,                0.73504,                0.73177,                0.73519,                0.40131,                 1.5726,                0.99763,                0.96495,             0.00017008,             0.00017008,             0.00017008
                     86,                 1.4708,                0.97545,                0.97819,                0.71496,                0.73822,                0.74066,                0.40609,                 1.5265,                0.96833,                  0.959,             0.00016008,             0.00016008,             0.00016008
                     87,                 1.4905,                0.96351,                 0.9869,                0.73613,                0.66332,                0.73358,                0.40076,                 1.5386,                 1.0106,                0.96126,             0.00015009,             0.00015009,             0.00015009
                     88,                 1.4853,                0.96551,                0.97935,                0.71937,                0.67055,                0.73443,                 0.4029,                 1.5968,                 1.0159,                0.97454,             0.00014009,             0.00014009,             0.00014009
                     89,                 1.4793,                0.96398,                0.98086,                0.76656,                0.70348,                 0.7607,                0.42594,                 1.4971,                0.97109,                0.95064,             0.00013009,             0.00013009,             0.00013009
                     90,                 1.4901,                0.95712,                0.97999,                0.79173,                0.64927,                0.73709,                 0.4174,                 1.5142,                0.97321,                0.95639,             0.00012009,             0.00012009,             0.00012009
                     91,                 1.4002,                0.90939,                0.97882,                0.74211,                0.64328,                0.70643,                0.36653,                 1.7428,                 1.0492,                 1.0053,             0.00011009,             0.00011009,             0.00011009
                     92,                 1.4033,                0.89214,                0.98222,                0.79478,                 0.6829,                0.75286,                0.39227,                 1.6488,                 1.0419,                0.98543,             0.00010009,             0.00010009,             0.00010009
                     93,                 1.3882,                0.86751,                0.97983,                0.75792,                0.68019,                0.75007,                0.40788,                 1.5552,                0.99181,                0.96454,             9.0091e-05,             9.0091e-05,             9.0091e-05
                     94,                 1.4034,                0.86653,                0.97797,                0.73854,                0.73015,                0.75136,                0.40773,                 1.5398,                0.98502,                 0.9566,             8.0092e-05,             8.0092e-05,             8.0092e-05
                     95,                 1.4073,                0.86768,                0.97922,                0.77008,                0.72026,                0.75071,                 0.4041,                 1.5636,                0.98396,                0.96066,             7.0093e-05,             7.0093e-05,             7.0093e-05
                     96,                 1.3768,                0.85393,                0.96235,                0.76295,                0.67959,                0.76171,                0.40538,                 1.5656,                0.98921,                0.96375,             6.0094e-05,             6.0094e-05,             6.0094e-05
                     97,                 1.3866,                0.85736,                 0.9655,                0.72946,                0.71136,                0.75698,                0.39964,                 1.6008,                 1.0003,                0.97128,             5.0095e-05,             5.0095e-05,             5.0095e-05
                     98,                 1.3768,                0.84706,                 0.9734,                0.74292,                0.69142,                0.74198,                 0.4038,                 1.5869,                0.99516,                0.96661,             4.0096e-05,             4.0096e-05,             4.0096e-05
                     99,                 1.3608,                0.85494,                0.95997,                0.74778,                0.70305,                0.73847,                0.40044,                 1.5634,                0.98685,                0.96142,             3.0097e-05,             3.0097e-05,             3.0097e-05
                    100,                 1.3642,                 0.8367,                0.96698,                 0.7326,                0.70668,                 0.7354,                0.39219,                 1.6084,                 1.0014,                0.97177,             2.0098e-05,             2.0098e-05,             2.0098e-05
